Tract_1,CIscore,Shape__Area,Shape__Length
6037920015,4,8652908.19921875,14256.7841908791
6037104401,13,1001355.421875,4588.70410661224
6037104620,10,779495.6796875,4173.36823339489
6037104320,14,1778000.125,5394.18506752319
6037530902,17,759827.6640625,4323.80392735571
6037530801,16,1123538.39453125,5318.66041071254
6037530901,16,651015.16015625,3213.70725720618
6037531000,17,1465564.7421875,5808.37106334537
6037531101,18,1021777.62109375,4532.18746082584
6037531102,18,724196.609375,3621.66166806561
6037531201,16,809649.5625,4098.35771975164
6037531202,16,647914.54296875,3890.06650014448
6037482301,14,1284112.80078125,6395.52943585471
6037481103,14,2049966.3125,6246.5166079985
6037482401,12,1226071.44921875,4595.46921718368
6037482303,15,1429169.6171875,5556.86984031266
6037482522,12,2404684.9453125,7020.41749020473
6037530005,14,3342585.20703125,11228.2416400263
6037403312,12,10276698.921875,14439.2640758067
6037408704,13,1677661.734375,6116.59309417805
6037403324,6,13646749.1523438,17758.9763811115
6037408211,14,11483222.2773438,15853.9718389937
6037403325,7,22892296.7617188,29970.2274532565
6037408212,14,4171880.84375,8325.19669740118
6037408503,8,6843281.125,13716.7413866961
6037407001,11,1604538.19921875,5699.1323224472
6037408302,11,4920838.5078125,11996.2999518795
6037401202,9,4651107.7890625,9518.14095234841
6037403802,10,1908582.7578125,5960.54023315894
6037401603,11,2828549.42578125,6917.604433602
6037403901,10,1847359.8828125,6239.79980308992
6037404901,9,1668751.421875,5367.55423761721
6037405900,11,1929056.26953125,5863.13209293668
6037405002,9,1300769.91796875,4691.81860605941
6037405102,14,1399945.29296875,5818.91449931756
6037183820,18,451469.71875,3839.73424838384
6037185100,14,3335631.4140625,9358.71161177251
6037185202,12,1765869.859375,6361.22602054324
6037185310,16,616916.9609375,4473.70386662918
6037186100,14,1964956.54296875,8055.16165638587
6037183220,15,783373.70703125,4904.65913206556
6037533202,17,479232.00390625,3260.34418201861
6037533502,17,340603.7109375,2375.5682494215
6037533201,19,545107.4921875,3435.05530489843
6037533503,18,254197.49609375,2145.38438604913
6037533702,16,472697.875,2793.48631293635
6037533803,18,1144925.0703125,5664.79362628036
6037534202,17,844345.53515625,4219.15682431904
6037534804,15,544216.80078125,3412.24826927112
6037531602,19,652751.09765625,3757.91694031107
6037533901,16,1113071.97265625,5758.50510651117
6037534001,18,1140824.515625,4945.08523267693
6037502500,18,5576751.36328125,10431.2354060267
6037530400,18,2237462.50390625,6877.79340444918
6037501200,11,2070316.55078125,6396.69028315038
6037501501,7,9121130.28515625,17918.1181834435
6037501400,14,1570497.59765625,5521.21588468897
6037501300,11,2923605.37109375,7852.72367110545
6037500201,5,10522918.4453125,15861.0107604105
6037500202,6,9262721.828125,15198.9818412636
6037501503,12,1172097.30859375,4615.72860438519
6037501504,14,1087361.69921875,4587.73754478112
6037406411,10,1089246.3203125,5303.79358639522
6037406500,11,3003838.79296875,7452.4175724658
6037406412,7,1782260.79296875,5717.66163929186
6037189702,12,2133793.39453125,8441.6188732144
6037406601,8,2875948.69921875,6857.83816184453
6037406402,7,1428803.80859375,5860.23921174481
6037406800,11,2547886.01171875,9094.89395174638
6037400604,10,7073859.44140625,16849.7487730435
6037404501,10,1175789.84765625,5171.44553731085
6037408134,9,1290004.703125,4482.22740688337
6037602900,16,4073523.18359375,10024.6230825519
6037602301,12,2591403.87109375,7088.73688612314
6037603704,16,939466.22265625,3877.07767113564
6037620001,10,1725839.2890625,5407.0566843355
6037600302,13,1185468.8203125,4385.29617384922
6037603703,12,949196.640625,3998.69576787729
6037603900,12,2169935.6640625,7802.54153727687
6037603600,7,1362310.42578125,4817.39381238711
6037106114,12,1487094.625,6355.23585881835
6037222500,14,952975.63671875,3905.02786540893
6037187300,11,1709260.6953125,7141.78283137583
6037222700,17,1199387.79296875,4995.8941630569
